"","ResponseId","ave_sk_t1","ave_sk_t2","ave_sk_t3","text_type","pilot"
"1","R_25WpOaJcqPXp8qe",6,6,6.33333333333333,"literal","pilot_a"
"2","R_1oqcNP58m6n6Y1q",4.33333333333333,4.33333333333333,5.66666666666667,"met_a","pilot_a"
"3","R_21HRL350JN7Ip5r",5.33333333333333,6,6,"met_na","pilot_a"
"4","R_pKsnVxjfbLReX1n",6,6,6,"met_a","pilot_a"
"5","R_2Vr3NCCuUz4YgNy",6.33333333333333,7,7,"literal","pilot_a"
"6","R_29b05TQtufv1RbB",2.33333333333333,5,5,"met_na","pilot_a"
"7","R_2cu2lYYcIbt0aw9",4.66666666666667,5.33333333333333,5.33333333333333,"met_na","pilot_a"
"8","R_V3ggzutABGd4eLT",3,4,5,"literal","pilot_a"
"9","R_72JUq1aExpS0zeh",4.33333333333333,5,5,"met_na","pilot_a"
"10","R_2aL8y63vpL7Ui7N",6,6,5,"met_a","pilot_a"
"11","R_2CiSqD9DUKDJNxp",7,7,7,"met_a","pilot_a"
"12","R_2bIVHkPXv3jiCWA",3,4,3,"met_na","pilot_a"
"13","R_DoYb2kY681TlBSN",2.33333333333333,6.66666666666667,4.33333333333333,"met_na","pilot_a"
"14","R_vN7jTKo0RtJVH8Z",4.33333333333333,5.33333333333333,5,"met_a","pilot_a"
"15","R_cIo1A91m2g8lYKl",6,6,6,"literal","pilot_a"
"16","R_xhjyk6iWhXy4Ikp",1.66666666666667,5,5,"met_na","pilot_a"
"17","R_3QE5M0UhOZtjZXU",6,6,6,"literal","pilot_a"
"18","R_2f87rhvoNrFzRgY",3.66666666666667,5,5,"met_a","pilot_a"
"19","R_2qt0OOw7cTrsDOo",3,6.33333333333333,6.33333333333333,"literal","pilot_a"
"20","R_3fHTKXX9BfC3tr9",2.33333333333333,5,5,"met_na","pilot_a"
"21","R_DiXEEwrO2pqDQg9",4.66666666666667,6,6,"met_na","pilot_a"
"22","R_qDfYO5AZY57k4fv",3.66666666666667,4.66666666666667,5,"met_a","pilot_a"
"23","R_3HHMvIK0k5h4W3I",5.33333333333333,6,6,"literal","pilot_a"
"24","R_1kLJkdag1eBnPnR",4,6,6,"met_a","pilot_a"
"25","R_SPqMDRmHIqswPzX",1,4,4,"met_na","pilot_a"
"26","R_sLk4nBJEpFJ2upr",4.66666666666667,4,4,"met_na","pilot_a"
"27","R_2QErE77eZZJLw7K",5.66666666666667,4.33333333333333,3.33333333333333,"literal","pilot_a"
"28","R_2B5O4mUiGEoLHjn",5.33333333333333,6,6,"met_na","pilot_a"
"29","R_2QleoZEdavJZt8T",2.66666666666667,4,3,"met_a","pilot_a"
"30","R_A0C1eKI3fMMPL4B",4.33333333333333,5,6,"met_na","pilot_a"
"31","R_1RDE18k5V0LH0K5",6,6,6,"met_a","pilot_a"
"32","R_1FS47xM3CHMtTuB",3,4.66666666666667,4.33333333333333,"met_a","pilot_a"
"33","R_2Y9fQZAWtS34k6d",4.66666666666667,5,5,"literal","pilot_a"
"34","R_UiuqC87cKjBO2Yh",6,6,6,"met_na","pilot_a"
"35","R_vrzq1b5WK3muzi9",5.5,6.33333333333333,6.33333333333333,"met_na","pilot_a"
"36","R_pMesCZAml9LYXux",1.66666666666667,5.66666666666667,5.66666666666667,"met_na","pilot_a"
"37","R_2CNyeMLo7gv3PSP",4.66666666666667,5.33333333333333,5,"met_a","pilot_a"
"38","R_3O2fERwZM5Aa65p",5,6.33333333333333,5,"literal","pilot_a"
"39","R_3lakkEjSvzmCsLv",2.66666666666667,3.66666666666667,4.66666666666667,"literal","pilot_a"
"40","R_3EzlF3qXiYXMgSq",5.33333333333333,6,5.33333333333333,"met_a","pilot_a"
"41","R_tX8Qj50Ay9lwmLn",6.66666666666667,6,5.33333333333333,"met_a","pilot_a"
"42","R_WxrWKrV23a2UoCd",2.33333333333333,3.33333333333333,3.33333333333333,"met_na","pilot_a"
"43","R_3HjNF9ifhE9jZTo",5,6,5,"literal","pilot_a"
"44","R_24ITrBCLrBCZ8lQ",5.33333333333333,6,5,"met_na","pilot_a"
"45","R_1gGFmXLRz8347wk",4,5.66666666666667,5.66666666666667,"met_a","pilot_a"
"46","R_3n8ftu9MCqLVuHv",7,7,7,"literal","pilot_a"
"47","R_3oZybYw8Hs5JLHz",2,2.66666666666667,2.66666666666667,"met_na","pilot_a"
"48","R_RUKz2AkvjesbuSd",5.33333333333333,5,5,"met_a","pilot_a"
"49","R_2wGiw3qB75DlF6H",4.66666666666667,6,6,"met_a","pilot_a"
"50","R_21iD6kzSh9P3bpE",5,5.66666666666667,5,"met_na","pilot_a"
"51","R_2THPQxkoZX1h4Ue",3,NA,NA,"met_a","pilot_a"
"52","R_DIBqUQDWuK1J3cB",3,5,5,"literal","pilot_b"
"53","R_3oTtFD3ss3awYJW",4.33333333333333,3,4,"met_na","pilot_b"
"54","R_245JgjxdecpGziQ",6,6,3,"met_a","pilot_b"
"55","R_tMrKxCq6yyTBDKV",3.66666666666667,5.66666666666667,3,"met_na","pilot_b"
"56","R_10uQ8XJswdlJR4a",5,5,3,"met_na","pilot_b"
"57","R_3NJUdVnoFzSgASu",5,5,5,"met_a","pilot_b"
"58","R_uy9KlvDZQoaUqfn",4.66666666666667,5.33333333333333,5,"literal","pilot_b"
"59","R_1rxBz1qyDYUBC8w",2,4,4.66666666666667,"met_a","pilot_b"
"60","R_1FfBXgVoP7NHg78",5,6,6,"met_na","pilot_b"
"61","R_Od5ZiOdG5XuSvNn",4.66666666666667,5.66666666666667,5.66666666666667,"met_a","pilot_b"
"62","R_3PpGXtH3p5GBdmU",3.33333333333333,5.33333333333333,4.66666666666667,"met_na","pilot_b"
"63","R_27OLftinfz8YLoa",5.33333333333333,5.66666666666667,5,"literal","pilot_b"
"64","R_1OSPNxE1KupvYKO",4.66666666666667,5,5,"literal","pilot_b"
"65","R_2wT7GwZCiUD153T",4,5,5.33333333333333,"met_a","pilot_b"
"66","R_1hzlO19oICAS3FP",2.66666666666667,2.66666666666667,3,"met_na","pilot_b"
"67","R_Rbpdg5Y6zga82m5",5,6,6,"met_na","pilot_b"
"68","R_3JArBfPk2kmpNBL",5.66666666666667,5.66666666666667,5.66666666666667,"met_a","pilot_b"
"69","R_3h0gmMdbIz21ooq",5.33333333333333,5.33333333333333,5.33333333333333,"literal","pilot_b"
"70","R_1mKGEvjau7aN5pY",5.33333333333333,5.33333333333333,5.33333333333333,"literal","pilot_b"
"71","R_1nTr4m2OUg6gaCJ",4.66666666666667,5,5,"met_a","pilot_b"
"72","R_2yphJZR6FYANrpA",5.33333333333333,5.66666666666667,3.66666666666667,"met_a","pilot_b"
"73","R_2Eaxnpn1FGMAZWO",4,5,5,"literal","pilot_b"
"74","R_2YxL6K7a2b6ahzM",3.66666666666667,5,5,"met_na","pilot_b"
"75","R_1lxZlJev0Exlx0m",4.66666666666667,4.66666666666667,4.66666666666667,"literal","pilot_b"
"76","R_3CE56D06Oq7PGQG",6.66666666666667,6.66666666666667,6.66666666666667,"met_a","pilot_b"
"77","R_Z4Pj4K2vSBmd8VX",2.66666666666667,5,5,"met_a","pilot_b"
"78","R_3QRWT3RH81LtwkR",3.66666666666667,4.66666666666667,5,"literal","pilot_b"
"79","R_3hgbbK8C2r3sDyW",4.33333333333333,5,5,"met_a","pilot_b"
"80","R_1pKZIZBWRR3jCMP",5.33333333333333,6,6,"literal","pilot_b"
"81","R_x3FD34cmWapTWet",5,5,5,"met_na","pilot_b"
"82","R_eLmn0djn0GlxDP3",5.33333333333333,5.66666666666667,5.66666666666667,"met_a","pilot_b"
"83","R_UmsYUGWuCEdfNER",3.33333333333333,4.33333333333333,4.33333333333333,"literal","pilot_b"
"84","R_Wck5VkPKpV4WFdD",2.66666666666667,4.66666666666667,4.66666666666667,"literal","pilot_b"
"85","R_tLjGUEtBshgOqKB",6.33333333333333,7,7,"met_na","pilot_b"
"86","R_2tzihHvvHw9u2p3",2,3.66666666666667,4,"literal","pilot_b"
"87","R_2q9tSSs0dBIWXxJ",6,6,6,"met_na","pilot_b"
"88","R_9GZg2mN3SkZZxeN",3.66666666666667,4.66666666666667,4.66666666666667,"literal","pilot_b"
"89","R_3QGKZHHp4jXfLNw",2.33333333333333,2.33333333333333,4,"met_na","pilot_b"
"90","R_bCbFwU5s03oeOoV",1,5,1,"literal","pilot_b"
"91","R_3qrNBGVyL2V31E3",7,5,5,"met_na","pilot_b"
"92","R_Qn5whETlJhp2l4l",6,6,6,"met_a","pilot_b"
"93","R_3MuStv3end0nnHd",5.33333333333333,6.66666666666667,5.33333333333333,"met_a","pilot_b"
"94","R_3kbxrYUfYvnCOn1",5.66666666666667,4.33333333333333,3,"literal","pilot_b"
"95","R_1PRYLqIvruBBve6",5,6,6,"met_a","pilot_b"
"96","R_238NpxLjdYERtAx",4,5,5,"met_na","pilot_b"
"97","R_5avVUMhLK9okLND",4.33333333333333,4.66666666666667,4.66666666666667,"literal","pilot_b"
"98","R_3MngODPaLoA67OP",5.33333333333333,6,5,"met_na","pilot_b"
